[VOL_TARGET] vol=25.5% | target=12.0% | mult=0.5
[VOL_TARGET] vol=25.5% | target=12.0% | mult=0.5
[VOL_TARGET] vol=22.5% | target=12.0% | mult=0.533
[VOL_TARGET] vol=22.5% | target=12.0% | mult=0.533
[VOL_TARGET] vol=22.5% | target=12.0% | mult=0.533
[VOL_TARGET] vol=22.5% | target=12.0% | mult=0.533
[VOL_TARGET] vol=22.5% | target=12.0% | mult=0.533
[VOL_TARGET] vol=22.5% | target=12.0% | mult=0.533
[VOL_TARGET] vol=22.5% | target=12.0% | mult=0.533
[VOL_TARGET] vol=22.5% | target=12.0% | mult=0.533
[VOL_TARGET] vol=22.5% | target=12.0% | mult=0.533
[VOL_TARGET] vol=22.5% | target=12.0% | mult=0.533
[VOL_TARGET] vol=22.5% | target=12.0% | mult=0.533
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
[VOL_TARGET] vol=17.6% | target=12.0% | mult=0.681
